Date,Stock name,Open,High,Low,Close*,Adj Close**,Volume,average volume per stock,Higher or lower then average volume,Volume avg,higher closing,higher closing 0 or 1,volatility,Volitity (1 or 0),mv50,Higher MV50,Higher than MVA50,MV100,Higher MVA100,Higher than MVA100,EMA 50,Higher then EMVA,Higher than EMVA 1
43852.00,CokeCola,280.79,283.79,279.99,281.84,280.41,21400.00,46253.14,No,0,Yes,1,No,0,277.79,Yes,1,288.36,No,0,280.80,No,0
43853.00,CokeCola,281.40,282.80,278.08,278.08,276.92,26000.00,46253.14,No,0,No,0,No,0,277.91,Yes,1,287.68,No,0,280.70,Yes,1
43854.00,CokeCola,279.07,279.07,272.65,276.22,275.06,35900.00,46253.14,No,0,No,0,No,0,277.98,No,0,286.97,No,0,280.52,Yes,1
43857.00,CokeCola,272.42,280.00,272.42,276.43,275.27,45600.00,46253.14,No,0,Yes,1,No,0,277.99,No,0,286.37,No,0,280.36,Yes,1
43858.00,CokeCola,277.28,278.60,275.01,275.01,273.86,24600.00,46253.14,No,0,No,0,No,0,278.00,No,0,285.79,No,0,280.15,Yes,1
43859.00,CokeCola,275.82,276.70,274.04,274.04,272.89,50400.00,46253.14,Yes,1,No,0,No,0,277.98,No,0,285.40,No,0,279.91,Yes,1
43860.00,CokeCola,272.90,277.75,272.90,277.08,275.92,29300.00,46253.14,No,0,Yes,1,No,0,278.02,No,0,285.11,No,0,279.80,Yes,1
43861.00,CokeCola,277.12,277.81,270.26,270.81,269.68,32100.00,46253.14,No,0,No,0,No,0,277.98,No,0,284.83,No,0,279.45,Yes,1
43864.00,CokeCola,272.23,278.00,272.23,276.48,275.32,48000.00,46253.14,Yes,1,Yes,1,No,0,278.05,No,0,284.67,No,0,279.33,Yes,1
43865.00,CokeCola,277.45,280.25,276.59,277.69,276.53,37500.00,46253.14,No,0,Yes,1,No,0,278.19,No,0,284.56,No,0,279.27,Yes,1
43866.00,CokeCola,279.00,281.85,272.63,274.52,273.37,34100.00,46253.14,No,0,No,0,No,0,277.99,No,0,284.36,No,0,279.08,Yes,1
43867.00,CokeCola,275.87,277.89,275.50,276.80,275.64,29700.00,46253.14,No,0,Yes,1,No,0,278.09,No,0,284.12,No,0,278.99,Yes,1
43868.00,CokeCola,275.50,281.61,275.50,279.36,278.19,21300.00,46253.14,No,0,Yes,1,No,0,278.24,Yes,1,284.01,No,0,279.01,No,0
43871.00,CokeCola,278.99,281.88,276.51,280.10,278.93,24200.00,46253.14,No,0,Yes,1,No,0,278.37,Yes,1,283.94,No,0,279.05,No,0
43872.00,CokeCola,280.10,282.83,278.50,282.12,280.94,34000.00,46253.14,No,0,Yes,1,No,0,278.52,Yes,1,283.90,No,0,279.17,No,0
43873.00,CokeCola,283.65,283.65,280.01,280.98,279.80,23200.00,46253.14,No,0,No,0,No,0,278.73,Yes,1,283.73,No,0,279.24,No,0
43874.00,CokeCola,279.69,289.00,279.50,287.50,286.30,33300.00,46253.14,No,0,Yes,1,No,0,279.09,Yes,1,283.59,Yes,1,279.56,No,0
